# 加成描述到Effect名称|modified_attribute_name的映射字典
# 格式: 加成描述: effect_name|modified_attr_name

## 能量炮台

xx% 中型能量炮台跟踪速度加成: shipBonusMediumEnergyTurretTrackingAC2|trackingSpeed
xx% 中型能量炮台跟踪速度加成: shipBonusMediumHybridTrackingCBC1|trackingSpeed
xx% 大型能量炮台CPU需求降低: bcLargeEnergyTurretCPUNeedBonus|cpu
xx% 大型能量炮台CPU需求降低: bcLargeHybridTurretCPUNeedBonus|cpu
xx% 大型能量炮台CPU需求降低: bcLargeProjectileTurretCPUNeedBonus|cpu
xx% 大型能量炮台CPU需求降低: solarFlareWeaponBonusLargeWeaponPGCPU|cpu/cpu/cpu/cpu/cpu/cpu/cpu/cpu/power/power/power/power/power/power/power/power
xx% 大型能量炮台伤害加成: eliteBonusViolatorsLargeEnergyTurretDamage1|damageMultiplier
xx% 大型能量炮台伤害加成: eliteBonusViolatorsLargeEnergyTurretDamageRole1|damageMultiplier
xx% 大型能量炮台伤害加成: eliteBonusViolatorsLargeHybridTurretDamageRole1|damageMultiplier
xx% 大型能量炮台伤害加成: eliteBonusViolatorsLargeProjectileTurretDamageRole1|damageMultiplier
xx% 大型能量炮台伤害加成: largeDisintegratorSkillDmgBonus|damageMultiplier
xx% 大型能量炮台伤害加成: largeEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeEnergyTurret|damageMultiplier
xx% 大型能量炮台伤害加成: largeHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeHybridTurret|damageMultiplier
xx% 大型能量炮台伤害加成: largePrecursorTurretDmgBonusRequiredSkill|damageMultiplier
xx% 大型能量炮台伤害加成: largePrecursorWeaponImplantDamageBoost|damageMultiplier
xx% 大型能量炮台伤害加成: largeProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeProjectileTurret|damageMultiplier
xx% 大型能量炮台伤害加成: largeUpwellWeaponDmgBonusRequiredSkill|damageMultiplier
xx% 大型能量炮台伤害加成: largeVortonProjectorSkillDmgBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeHybridBlasterDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeHybridRailDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeLaserBeamDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeLaserPulseDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeProjectileACDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: selfT2LargeProjectileArtyDamageBonus|damageMultiplier
xx% 大型能量炮台伤害加成: shipBonusLargeEnergyTurretDamageAB|damageMultiplier
xx% 大型能量炮台伤害加成: shipBonusLargeEnergyWeaponDamageAB2|damageMultiplier
xx% 大型能量炮台伤害加成: shipLargeLaserDamageBonusABC2|damageMultiplier
xx% 大型能量炮台伤害加成: shipLargeWeaponsDamageBonus|thermalDamage/emDamage/explosiveDamage/kineticDamage/emDamage/explosiveDamage/kineticDamage/thermalDamage/emDamage/explosiveDamage/kineticDamage/thermalDamage/damageMultiplier/damageMultiplier/damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargeACDmg|damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargeArtyDmg|damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargeBeamLaserDmg|damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargeBlasterDmg|damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargePulseLaserDmg|damageMultiplier
xx% 大型能量炮台伤害加成: solarFlareWeaponBonusLargeRailgunDmg|damageMultiplier
xx% 大型能量炮台启动消耗减少: bcLargeEnergyTurretCapacitorNeedBonus|capacitorNeed
xx% 大型能量炮台启动消耗减少: bcLargeHybridTurretCapacitorNeedBonus|capacitorNeed
xx% 大型能量炮台启动消耗减少: shipBonusLargeEnergyTurretCapReductionAB3|capacitorNeed
xx% 大型能量炮台启动消耗减少: shipLargeLaserCapABC1|capacitorNeed
xx% 大型能量炮台射速加成: shipLargeHybridTurretRofGB|speed
xx% 大型能量炮台最佳射程加成: shipBonusLargeEnergyTurretMaxRangeAB2|maxRange
xx% 大型能量炮台最佳射程加成: shipBonusLargeEnergyTurretMaxRangeAB|maxRange
xx% 大型能量炮台能量栅格需求降低: bcLargeEnergyTurretPowerNeedBonus|power
xx% 大型能量炮台能量栅格需求降低: bcLargeHybridTurretPowerNeedBonus|power
xx% 大型能量炮台能量栅格需求降低: bcLargeProjectileTurretPowerNeedBonus|power
xx% 大型能量炮台跟踪速度加成: eliteBonusBlackOpsLargeEnergyTurretTracking1|trackingSpeed
xx% 大型能量炮台跟踪速度加成: eliteBonusViolatorsLargeHybridTurretTracking1|trackingSpeed
xx% 大型能量炮台跟踪速度加成: eliteBonusViolatorsLargeProjectileTurretTracking1|trackingSpeed
xx% 大型能量炮台跟踪速度加成: shipBonusLargeEnergyTurretTrackingAB|trackingSpeed
xx% 大型能量炮台跟踪速度加成: shipBonusLargeProjectileTrackingMB|trackingSpeed
xx% 大型能量炮台跟踪速度加成: shipLargeHybridTrackingBonusGBC1|trackingSpeed
xx% 小型能量炮台CPU需求降低: solarFlareShipBonusSmallEnergyTurretCPU|cpu/cpu
xx% 小型能量炮台CPU需求降低: solarFlareShipBonusSmallHybridTurretCPU|cpu/cpu
xx% 小型能量炮台CPU需求降低: solarFlareShipBonusSmallProjectileTurretCPU|cpu/cpu
xx% 小型能量炮台CPU需求降低: solarFlareWeaponBonusSmallWeaponPGCPU|cpu/cpu/cpu/cpu/cpu/cpu/cpu/cpu/power/power/power/power/power/power/power/power
xx% 小型能量炮台伤害加成: selfT2SmallHybridBlasterDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: selfT2SmallHybridRailDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: selfT2SmallLaserBeamDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: selfT2SmallLaserPulseDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: selfT2SmallProjectileACDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: selfT2SmallProjectileArtyDamageBonus|damageMultiplier
xx% 小型能量炮台伤害加成: shipBonusPirateSmallHybridDmg|damageMultiplier
xx% 小型能量炮台伤害加成: shipBonusSmallEnergyTurretDamageATF1|damageMultiplier
xx% 小型能量炮台伤害加成: shipBonusSmallEnergyTurretDamageAmaNavyDestroyer|damageMultiplier
xx% 小型能量炮台伤害加成: shipBonusSmallEnergyTurretDamagePirateFaction|damageMultiplier
xx% 小型能量炮台伤害加成: shipBonusSmallHybridDamageGF2|damageMultiplier
xx% 小型能量炮台伤害加成: smallDisintegratorSkillDmgBonus|damageMultiplier
xx% 小型能量炮台伤害加成: smallEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallEnergyTurret|damageMultiplier
xx% 小型能量炮台伤害加成: smallHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallHybridTurret|damageMultiplier
xx% 小型能量炮台伤害加成: smallPrecursorTurretDmgBonusRequiredSkill|damageMultiplier
xx% 小型能量炮台伤害加成: smallPrecursorWeaponImplantDamageBoost|damageMultiplier
xx% 小型能量炮台伤害加成: smallProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallProjectileTurret|damageMultiplier
xx% 小型能量炮台伤害加成: smallUpwellWeaponDmgBonusRequiredSkill|damageMultiplier
xx% 小型能量炮台伤害加成: smallVortonProjectorSkillDmgBonus|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareShipBonusSmallEnergyTurretDamageSAF|damageMultiplier/damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareShipBonusSmallHybridTurretDmg|damageMultiplier/damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareShipBonusSmallProjectileTurretDmg|damageMultiplier/damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareShipRoleBonusSmallHybridTurretDamageFixedBonus|damageMultiplier/damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallACDmg|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallArtyDmg|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallBeamLaserDmg|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallBlasterDmg|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallPulseLaserDmg|damageMultiplier
xx% 小型能量炮台伤害加成: solarFlareWeaponBonusSmallRailgunDmg|damageMultiplier
xx% 小型能量炮台伤害加成: systemSmallEnergyDamage|damageMultiplier
xx% 小型能量炮台伤害加成: systemSmallHybridDamage|damageMultiplier
xx% 小型能量炮台伤害加成: systemSmallPrecursorTurretDamage|damageMultiplier
xx% 小型能量炮台伤害加成: systemSmallProjectileDamage|damageMultiplier
xx% 小型能量炮台伤害加成: systemSmallUpwellTurretDamage|damageMultiplier
xx% 小型能量炮台启动消耗减少: solarFlareShipBonusSmallEnergyTurretCapCost|capacitorNeed/capacitorNeed
xx% 小型能量炮台失准范围加成: shipBonusSmallProjectileFalloffRole6|falloff
xx% 小型能量炮台失准范围加成: solarFlareShipBonusSmallProjectileTurretFalloff|falloff/falloff
xx% 小型能量炮台射速加成: shipBonusSmallHybridTrackingSpeedATF2|trackingSpeed
xx% 小型能量炮台射速加成: shipBonusSmallHybridTrackingSpeedATF3|trackingSpeed
xx% 小型能量炮台射速加成: solarFlareShipBonusSmallEnergyTurretTrackingSpeed|trackingSpeed/trackingSpeed
xx% 小型能量炮台射速加成: solarFlareShipBonusSmallProjectileTurretRoF|speed/speed
xx% 小型能量炮台最佳射程加成: shipBonusSmallEnergyWeaponOptimalRangeATF2|maxRange
xx% 小型能量炮台最佳射程加成: shipBonusSmallEnergyWeaponOptimalRangeAmaNavyDestroyer|maxRange
xx% 小型能量炮台最佳射程加成: shipBonusSmallHybridMaxRangeATF2|maxRange
xx% 小型能量炮台最佳射程加成: shipBonusSmallHybridMaxRangeATF3|maxRange
xx% 小型能量炮台最佳射程加成: smallDisintegratorMaxRangeBonus|maxRange
xx% 小型能量炮台最佳射程加成: smallEnergyMaxRangeBonus|maxRange
xx% 小型能量炮台最佳射程加成: smallHybridMaxRangeBonus|maxRange
xx% 小型能量炮台最佳射程加成: smallProjectileMaxRangeBonus|maxRange
xx% 小型能量炮台最佳射程加成: solarFlareShipBonusSmallHybridTurretOptRange|maxRange/maxRange
xx% 小型能量炮台能量栅格需求降低: solarFlareShipBonusSmallEnergyTurretPG|power/power
xx% 小型能量炮台能量栅格需求降低: solarFlareShipBonusSmallHybridTurretPG|power/power
xx% 小型能量炮台能量栅格需求降低: solarFlareShipBonusSmallProjectileTurretPG|power/power
xx% 小型能量炮台跟踪速度加成: shipBonusSmallEnergyTurretTracking2AF|trackingSpeed
xx% 小型能量炮台跟踪速度加成: solarFlareShipBonusSmallHybridTurretTracking|trackingSpeed/trackingSpeed
xx% 旗舰能量炮台伤害加成: 	capitalLauncherSkillCruiseCitadelEmDamage1|emDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCitadelEmDamage|emDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCitadelExplosiveDamage|explosiveDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCitadelKineticDamage|kineticDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCitadelThermalDamage|thermalDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCruiseCitadelExplosiveDamage1|explosiveDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCruiseCitadelKineticDamage1|kineticDamage
xx% 旗舰能量炮台伤害加成: capitalLauncherSkillCruiseCitadelThermalDamage1|thermalDamage
xx% 旗舰能量炮台伤害加成: capitalPrecursorTurretDmgBonusRequiredSkill|damageMultiplier
xx% 旗舰能量炮台伤害加成: capitalTurretSkillHybridDamage|damageMultiplier
xx% 旗舰能量炮台伤害加成: capitalTurretSkillLaserDamage|damageMultiplier
xx% 旗舰能量炮台伤害加成: capitalTurretSkillProjectileDamage|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusCapitalEnergyTurretColossus1|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusCapitalProjectileTurretDmgColossus2|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusRole1CapitalHybridDamageBonus|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusRole1CapitalProjectileDamageBonus|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusRole3CapitalEnergyDamageBonus|damageMultiplier
xx% 旗舰能量炮台伤害加成: shipBonusRole3CapitalHybridDamageBonus|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalArtillerySpecialization|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalAutocannonSpecialization|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalBeamLaserSpecialization|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalBlasterSpecialization|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalPulseLaserSpecialization|damageMultiplier
xx% 旗舰能量炮台伤害加成: skillBonusCapitalRailgunSpecialization|damageMultiplier
xx% 旗舰能量炮台启动消耗减少: capitalMJDSkillCapReductionBonus|capacitorNeed
xx% 旗舰能量炮台启动消耗减少: capitalRemoteEnergyTransferCapNeedBonusSkill|capacitorNeed
xx% 旗舰能量炮台启动消耗减少: shipRoleBonusUpwellFreighterCapitalFlexHardenerFittingCapBonus|power/capacitorNeed
xx% 旗舰能量炮台启动消耗减少: skillCapitalRemoteHullRepairSystemsCapNeedBonus|capacitorNeed
xx% 旗舰能量炮台失准范围加成: shipBonusDreadnoughtM2CapitalProjectileFalloff|falloff
xx% 旗舰能量炮台射速加成: shipBonusCapitalProjectileTurretROFColossus1|speed
xx% 旗舰能量炮台最佳射程加成: shipBonusCapitalEnergyTurretRangeColossus3|maxRange
xx% 旗舰能量炮台最佳射程和失准范围加成: shipBonusCapitalProjectileTurretMaxRangeAndFalloffColossus4|falloff/maxRange
xx% 旗舰能量炮台跟踪速度加成: shipBonusCapitalEnergyTurretTrackingColossus2|trackingSpeed
xx% 旗舰能量炮台跟踪速度加成: shipBonusCapitalProjectileTurretTrackingColossus3|trackingSpeed
xx% 能量炮台CPU需求降低: CovertCloakCPUAddition|cpu
xx% 能量炮台CPU需求降低: blockadeRunnerCloakCpuPercentBonus|cpu
xx% 能量炮台CPU需求降低: booster62134Bonus|powerOutput/cpuOutput/capacitorCapacity
xx% 能量炮台CPU需求降低: covertOpsCloakCPUPercentRoleBonus|cpu
xx% 能量炮台CPU需求降低: covertOpsCloakCpuPercentBonus1|cpu
xx% 能量炮台CPU需求降低: covertOpsCpuBonus1|cpu
xx% 能量炮台CPU需求降低: covopsCloakCPURole1Bonus|cpu
xx% 能量炮台CPU需求降低: cpuMultiplierPostMulCpuOutputShip|cpuOutput
xx% 能量炮台CPU需求降低: cpuNeedBonusEffectHybrid|cpu
xx% 能量炮台CPU需求降低: cpuNeedBonusEffectLasers|cpu
xx% 能量炮台CPU需求降低: cpuNeedBonusEffectProjectile|cpu
xx% 能量炮台CPU需求降低: cpuOutputAddCpuOutputPassive|cpuOutput
xx% 能量炮台CPU需求降低: cpuUsageMultiply|cpu
xx% 能量炮台CPU需求降低: dataMinerCPURole1Bonus|cpu
xx% 能量炮台CPU需求降低: drawbackCPUNeedLaunchers|cpu
xx% 能量炮台CPU需求降低: drawbackCPUOutput|cpuOutput
xx% 能量炮台CPU需求降低: electronicsCpuOutputBonusPostPercentCpuOutputLocationShipGroupComputer|cpuOutput
xx% 能量炮台CPU需求降低: energyGridUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringEnergyGridUpgrades|cpu
xx% 能量炮台CPU需求降低: entosisCPUAddition|cpu
xx% 能量炮台CPU需求降低: escortHullUpgradeCpu Bonus|cpu
xx% 能量炮台CPU需求降低: gallenteFrigateSkillBoostCpuOutputBonus|cpuOutputBonus2
xx% 能量炮台CPU需求降低: iceMinerCpuUsagePercent|cpu
xx% 能量炮台CPU需求降低: leadershipCpuBonus|cpu
xx% 能量炮台CPU需求降低: minerCpuUsageMultiplyPercent2|cpu
xx% 能量炮台CPU需求降低: probeLauncherCPUPercentRoleBonusT3|cpu
xx% 能量炮台CPU需求降低: probeLauncherCPURole1Bonus|cpu
xx% 能量炮台CPU需求降低: reconShipCloakCpuBonus1|cpu
xx% 能量炮台CPU需求降低: roleBonusATCruiserMJDFittingReduction|cpu/power
xx% 能量炮台CPU需求降低: roleBonusBombLauncherPWGCPU3|power/cpu
xx% 能量炮台CPU需求降低: roleBonusBulkheadCPU|cpu
xx% 能量炮台CPU需求降低: roleBonusCDLinksPGCPUReductionSkua|power/cpu
xx% 能量炮台CPU需求降低: roleBonusFlagCruiserModuleFittingReduction|cpu/power/cpu/power/cpu/power/cpu/power
xx% 能量炮台CPU需求降低: sensorUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringSensorUpgrades|cpu
xx% 能量炮台CPU需求降低: sensorUpgradesSkillBoostCpuNeedBonus|cpuNeedBonus
xx% 能量炮台CPU需求降低: setBonusChristmasCPUOutput|cpuOutputBonus2
xx% 能量炮台CPU需求降低: setBonusFlareCPUOutput|cpuOutputBonus2
xx% 能量炮台CPU需求降低: shipBonusCloakCpuMC2|cpu
xx% 能量炮台CPU需求降低: shipBonusCloakCpuMF1|cpu
xx% 能量炮台CPU需求降低: shipBonusGasCloudScoopCPUreductionSOEECSrole|cpu
xx% 能量炮台CPU需求降低: shipBonusRole1CommandBurstCPUBonus|cpu
xx% 能量炮台CPU需求降低: shipBonusRole4NosferatuCPUBonus|cpu
xx% 扫描探针发射器CPU需求降低: shipRoleBonusScanProbeLauncherCPU|cpu
xx% 能量炮台CPU需求降低: shipRoleBonusUpwellFreighterCloakCPUPenalty|cpu
xx% 能量炮台CPU需求降低: solarFlareShipBonusLMHMHAMLauncherCPU|cpu/cpu/cpu
xx% 能量炮台CPU需求降低: solarFlareShipBonusMedEnergyTurretCPU|cpu/cpu
xx% 能量炮台CPU需求降低: solarFlareShipBonusMedHybridTurretCPU|cpu/cpu
xx% 能量炮台CPU需求降低: solarFlareShipBonusMedProjectileTurretCPU|cpu/cpu
xx% 能量炮台CPU需求降低: solarFlareWeaponBonusMedWeaponPGCPU|cpu/cpu/cpu/cpu/cpu/cpu/cpu/cpu/power/power/power/power/power/power/power/power
xx% 能量炮台CPU需求降低: subsystemBonusCaldariElectronicCPU|cpuOutput
xx% 能量炮台CPU需求降低: subsystemBonusCommandBurstFittingReduction|power/cpu
xx% 能量炮台CPU需求降低: subsystemBonusGallenteElectronicCPU|cpuOutput
xx% 能量炮台CPU需求降低: subsystemBonusScanProbeLauncherCPU|cpu
xx% 能量炮台CPU需求降低: subsystemEnergyNeutFittingReduction|power/cpu/power/cpu
xx% 能量炮台CPU需求降低: subsystemMETFittingReduction|power/cpu
xx% 能量炮台CPU需求降低: subsystemMHTFittingReduction|power/cpu
xx% 能量炮台CPU需求降低: subsystemMPTFittingReduction|power/cpu
xx% 能量炮台CPU需求降低: warfareLinkCPUAddition|cpu
xx% 能量炮台CPU需求降低: weaponUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringBombLauncher|cpu
xx% 能量炮台CPU需求降低: weaponUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringEnergyPulseWeapons|cpu
xx% 能量炮台CPU需求降低: weaponUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringGunnery|cpu/cpu
xx% 能量炮台CPU需求降低: weaponUpgradesSkillBoostCpu|cpu
xx% 能量炮台伤害加成:  shipRoleBonusPCBSDmgBonusRoleBonus3|damageMultiplier
xx% 能量炮台伤害加成:  shipRoleBonusPCBSDmgMultiplierBonusMaxRoleBonus4|damageMultiplierBonusMax
xx% 能量炮台伤害加成: ATFrigDmgBonus|damageMultiplier/damageMultiplier/damageMultiplier/explosiveDamage/kineticDamage/emDamage/thermalDamage/explosiveDamage/kineticDamage/emDamage/thermalDamage
xx% 能量炮台伤害加成: ATfrigNegSecStatusDmgBonus|damageMultiplier/damageMultiplier/damageMultiplier/damageMultiplier
xx% 能量炮台伤害加成: QuafeHybirdWeaponDamageBonus|damageMultiplier
xx% 能量炮台伤害加成: RoleBonusCrescent|damageMultiplier/capacitorNeed/capacitorNeed/duration
xx% 能量炮台伤害加成: aoeDamageMultiplier|damageMultiplierBonus
xx% 能量炮台伤害加成: booster62135Bonus|damageMultiplier/damageMultiplier/damageMultiplier/emDamage/explosiveDamage/kineticDamage/thermalDamage
xx% 能量炮台伤害加成: boosterAllTurretDamageMultiplier|damageMultiplier/damageMultiplier/damageMultiplier
xx% 能量炮台伤害加成: controlTowerAmarrLaserDMGBonus|damageMultiplier
xx% 能量炮台伤害加成: controlTowerGallenteHybridDamageBonus|damageMultiplier
xx% 能量炮台伤害加成: damageCloudChanceReductionFixed|damageCloudChance
xx% 能量炮台伤害加成: damageControl|armorEmDamageResonance/armorExplosiveDamageResonance/armorKineticDamageResonance/armorThermalDamageResonance/emDamageResonance/explosiveDamageResonance/kineticDamageResonance/thermalDamageResonance/shieldEmDamageResonance/shieldExplosiveDamageResonance/shieldKineticDamageResonance/shieldThermalDamageResonance
xx% 能量炮台伤害加成: damageMultiplierMultiplierActivation|damageMultiplier
xx% 能量炮台伤害加成: damageMultiplierSkillBonus|damageMultiplierBonus
xx% 能量炮台伤害加成: damageRepairedSkillBonus|damageHP
xx% 能量炮台伤害加成: disintegratorWeaponDamageMultiply|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusCommandShipLaserDamageCS1|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusCommandShipProjectileDamageCS1|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusCovertOps3PCTdamagePerCycle|damageMultiplierBonusPerCycle
xx% 能量炮台伤害加成: eliteBonusCovertOpsSHTDamage3|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusGunshipHybridDmg2|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusGunshipLaserDamage2|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusGunshipProjectileDamage1|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusHeavyGunshipHybridDmg2|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusHeavyGunshipLaserDmg2|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusHeavyGunshipProjectileDmg2|damageMultiplier
xx% 能量炮台伤害加成: eliteBonusMarauderSentryHPandDamage|damageMultiplier/armorHP/hp/shieldCapacity
xx% 能量炮台伤害加成: eliteBonusMaraudersCruiseAndTorpedoDamageRole1|emDamage/explosiveDamage/kineticDamage/thermalDamage/emDamage/explosiveDamage/kineticDamage/thermalDamage
xx% 能量炮台伤害加成: eliteBonusReconShip3PCTdamagePerCycle|damageMultiplierBonusPerCycle
xx% 能量炮台伤害加成: eliteBonusViolatorsLPWDmgMultiMax1|damageMultiplierBonusMax
xx% 能量炮台伤害加成: eliteReconBonusMHTDamage1|damageMultiplier
xx% 能量炮台伤害加成: eliteReconBonusMPTdamage1|damageMultiplier
xx% 能量炮台伤害加成: energyWeaponDamageMultiplyPassive|damageMultiplier
xx% 能量炮台伤害加成: energyWeaponDamageMultiply|damageMultiplier
xx% 能量炮台伤害加成: heatDamageBonus|heatDamage
xx% 能量炮台伤害加成: hybridWeaponDamageMultiplyPassive|damageMultiplier
xx% 能量炮台伤害加成: hybridWeaponDamageMultiply|damageMultiplier
xx% 能量炮台伤害加成: implantSetMimesis|damageMultiplierBonusMaxModifier/damageMultiplierBonusPerCycleModifier
xx% 能量炮台伤害加成: industrialCompactCoreEffect2|maxVelocity/warpScrambleStatus/mass/disallowDocking/disallowTethering/gateScrambleStatus/remoteRepairImpedance/remoteAssistanceImpedance/sensorDampenerResistance/ECMResistance/damageMultiplier/armorHP/hp/shieldCapacity/maxVelocity/miningAmount/duration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/maxRange/shieldBonus/duration
xx% 能量炮台伤害加成: industrialCoreEffect2|maxVelocity/warpScrambleStatus/mass/disallowDocking/disallowTethering/gateScrambleStatus/remoteRepairImpedance/remoteAssistanceImpedance/sensorDampenerResistance/ECMResistance/scanResolution/shieldBonus/duration/duration/capacitorNeed/maxRange/falloffEffectiveness/damageMultiplier/armorHP/hp/shieldCapacity/maxVelocity/miningAmount/duration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/maxRange
xx% 能量炮台伤害加成: interceptor2ProjectileDamage|damageMultiplier
xx% 能量炮台伤害加成: modifyDamageMultiplierBonusMax|damageMultiplierBonusMax
